book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
gotobi,USDJPY,2019-04-15 03:55:00,2019-04-15 09:00:00,SELL,111.98429,111.91318,0.2628,signal
meanrev,USDJPY,2019-04-17 01:00:00,2019-04-29 01:00:00,SELL,111.96835,111.62278,1.16898,signal
gotobi,USDJPY,2019-04-19 03:55:00,2019-04-19 09:00:00,SELL,111.96558,111.90319,0.21223,signal
meanrev,GBPUSD,2019-04-22 01:00:00,2019-05-01 01:00:00,BUY,1.29892,1.30378,0.01915,signal
gotobi,USDJPY,2019-04-25 03:55:00,2019-04-25 09:00:00,SELL,112.23908,112.02489,0.20708,signal
gotobi,USDJPY,2019-04-26 03:55:00,2019-04-26 09:00:00,SELL,111.7637,111.75557,0.22759,signal
meanrev,GBPUSD,2019-05-07 01:00:00,2019-05-09 01:00:00,SELL,1.30944,1.3009,0.01829,signal
gotobi,USDJPY,2019-05-10 03:55:00,2019-05-10 09:00:00,SELL,109.83958,109.73885,0.27967,signal
gotobi,USDJPY,2019-05-15 03:55:00,2019-05-15 09:00:00,SELL,109.58885,109.68427,0.31007,signal
gotobi,USDJPY,2019-05-20 03:55:00,2019-05-20 09:00:00,SELL,110.1686,110.14176,0.32377,signal
meanrev,USDCAD,2019-05-23 01:00:00,2019-05-24 01:00:00,BUY,1.34364,1.34738,0.01618,signal
gotobi,USDJPY,2019-05-24 03:55:00,2019-05-24 09:00:00,SELL,109.70766,109.61084,0.34307,signal
gotobi,USDJPY,2019-05-31 03:55:00,2019-05-31 09:00:00,SELL,109.31218,108.93595,0.30996,signal
gotobi,USDJPY,2019-06-05 03:55:00,2019-06-05 09:00:00,SELL,108.12047,108.06744,0.30752,signal
meanrev,USDCAD,2019-06-06 01:00:00,2019-06-07 17:00:00,BUY,1.34226,1.32703,0.01523,stop
gotobi,USDJPY,2019-06-10 03:55:00,2019-06-10 09:00:00,SELL,108.48382,108.63992,0.31715,signal
meanrev,USDCAD,2019-06-13 01:00:00,2019-06-17 01:00:00,BUY,1.33376,1.34106,0.01575,signal
gotobi,USDJPY,2019-06-14 03:55:00,2019-06-14 09:00:00,SELL,108.37515,108.32912,0.29136,signal
gotobi,USDJPY,2019-06-20 03:55:00,2019-06-20 09:00:00,SELL,107.75505,107.63092,0.30298,signal
meanrev,GBPUSD,2019-06-25 01:00:00,2019-06-28 01:00:00,SELL,1.27345,1.26686,0.01972,signal
